Product SKU,Database Price,Shopify Price,Price Changed,Difference
0092218,456.26,374.18,TRUE,82.08
0092283,362.11,270.19,TRUE,91.92
0096619,401.26,394.35,TRUE,6.91
0096805,401.26,394.35,TRUE,6.91
0098023,616,657.24,TRUE,41.24
0099603,9.57,10.1,TRUE,0.53
0099668,163.02,147.91,TRUE,15.11
0102592,21.19,14,TRUE,7.19
0103505,85.04,84.24,TRUE,0.8
0103643,45.24,31.23,TRUE,14.01
0104256,4.51,8.86,TRUE,4.35
0104423,3.01,2.4,TRUE,0.61
0104450,10,7.6,TRUE,2.4
0105715,768,716.66,TRUE,51.34
0105820,463.45,240.16,TRUE,223.29
0105969,5.67,5.13,TRUE,0.54
0105970,7.07,6.07,TRUE,1
0106629,0.46,0.39,TRUE,0.07
0106635,2,2.4,TRUE,0.4
0107031,5.44,5.08,TRUE,0.36
0107799,7950,9563.2,TRUE,1613.2
0107936,0.8,0.7,TRUE,0.1
0108395,9,7.01,TRUE,1.99
0110756,5.41,5.25,TRUE,0.16
0113360,4.23,59.2,TRUE,54.97
0114517,212.09,218.29,TRUE,6.2
0115784,60.68,59.09,TRUE,1.59
0120846,136.9,82.03,TRUE,54.87
0120896,128,136,TRUE,8
,N/A,0,ONLY_IN_SHOPIFY,N/A
0000123,N/A,465.6,ONLY_IN_SHOPIFY,N/A
0000131,N/A,734.19,ONLY_IN_SHOPIFY,N/A
0000322,N/A,25.52,ONLY_IN_SHOPIFY,N/A
0000323,N/A,35.58,ONLY_IN_SHOPIFY,N/A
0000637,N/A,9.76,ONLY_IN_SHOPIFY,N/A
0000660,N/A,14.48,ONLY_IN_SHOPIFY,N/A
0000678,N/A,25.33,ONLY_IN_SHOPIFY,N/A
0000686,N/A,20.08,ONLY_IN_SHOPIFY,N/A
0000803,N/A,59.98,ONLY_IN_SHOPIFY,N/A
0000868,N/A,39.25,ONLY_IN_SHOPIFY,N/A
0000910,N/A,12,ONLY_IN_SHOPIFY,N/A
0000963,N/A,3.65,ONLY_IN_SHOPIFY,N/A
0000967,N/A,60.75,ONLY_IN_SHOPIFY,N/A
0000974,N/A,80.8,ONLY_IN_SHOPIFY,N/A
0001069,N/A,16.37,ONLY_IN_SHOPIFY,N/A
0001164,N/A,10.88,ONLY_IN_SHOPIFY,N/A
0001184,N/A,9.98,ONLY_IN_SHOPIFY,N/A
0001304,N/A,40.93,ONLY_IN_SHOPIFY,N/A
0001465,N/A,11.1,ONLY_IN_SHOPIFY,N/A
0001567,N/A,6.08,ONLY_IN_SHOPIFY,N/A
0001760,N/A,3.99,ONLY_IN_SHOPIFY,N/A
0001995,N/A,20,ONLY_IN_SHOPIFY,N/A
0002252,N/A,10.3,ONLY_IN_SHOPIFY,N/A
0002736,N/A,5.38,ONLY_IN_SHOPIFY,N/A
0002742,N/A,7.76,ONLY_IN_SHOPIFY,N/A
0002743,N/A,7.2,ONLY_IN_SHOPIFY,N/A
0002828,N/A,113.49,ONLY_IN_SHOPIFY,N/A
0002843,N/A,0.8,ONLY_IN_SHOPIFY,N/A
0002892,N/A,48.16,ONLY_IN_SHOPIFY,N/A
0002899,N/A,4.8,ONLY_IN_SHOPIFY,N/A
0002922,N/A,14.58,ONLY_IN_SHOPIFY,N/A
0002925,N/A,2.5,ONLY_IN_SHOPIFY,N/A
0003583,N/A,4.1,ONLY_IN_SHOPIFY,N/A
0003593,N/A,6.97,ONLY_IN_SHOPIFY,N/A
0003601,N/A,29.44,ONLY_IN_SHOPIFY,N/A
0003630,N/A,4.7,ONLY_IN_SHOPIFY,N/A
0003632,N/A,50.56,ONLY_IN_SHOPIFY,N/A
0003635,N/A,22.88,ONLY_IN_SHOPIFY,N/A
0003659,N/A,19.6,ONLY_IN_SHOPIFY,N/A
0003668,N/A,17.96,ONLY_IN_SHOPIFY,N/A
0003681,N/A,67.44,ONLY_IN_SHOPIFY,N/A
0003684,N/A,40.38,ONLY_IN_SHOPIFY,N/A
0003699,N/A,12.32,ONLY_IN_SHOPIFY,N/A
0003705,N/A,2.61,ONLY_IN_SHOPIFY,N/A
0003709,N/A,8.36,ONLY_IN_SHOPIFY,N/A
0003712,N/A,18.22,ONLY_IN_SHOPIFY,N/A
0003715,N/A,106.7,ONLY_IN_SHOPIFY,N/A
0003716,N/A,33.59,ONLY_IN_SHOPIFY,N/A
0003720,N/A,25.75,ONLY_IN_SHOPIFY,N/A
0003721,N/A,34.33,ONLY_IN_SHOPIFY,N/A
0003722,N/A,26.49,ONLY_IN_SHOPIFY,N/A
0003724,N/A,142.16,ONLY_IN_SHOPIFY,N/A
0003730,N/A,50.74,ONLY_IN_SHOPIFY,N/A
0003733,N/A,189.91,ONLY_IN_SHOPIFY,N/A
0003734,N/A,49.25,ONLY_IN_SHOPIFY,N/A
