CUSTID,SKU,CATEGORY,REF_COST,MAX_SELLPRICE,MAP,FINAL_PRICE
00066 ,0032501,L L ,4.5421249999999995,0,0,45421.25
00066 ,0033606,L L ,0,0,0,0
00066 ,0051770,L L ,0,0,0,0
00066 ,0003131,SLVS,0,0,0,0
00066 ,0003132,SLVS,0,0,0,0
00066 ,0022556,FLRS,2.1081549999999996,0,0,21081.55
00066 ,0022557,FLRS,0,0,0,0
00066 ,0094672,BATT,870.1,0,0,8700999.91
00066 ,0094673,BATT,238,0,0,2379999.98
00066 ,0097744,BATT,572,0,0,5719999.94
00066 ,0104715,BATT,572,0,0,5719999.94
00066 ,0105032,BATT,533,0,0,5329999.95
00066 ,0032589,L L ,0,0,0,0
00066 ,0032593,PHOT,0,0,0,0
00066 ,0032612,PHOT,0,0,0,0
00066 ,0032592,PHOT,0,0,0,0
00066 ,0032621,PHOT,0,0,0,0
00066 ,0032613,PHOT,0,0,0,0
00066 ,0032622,PHOT,0,0,0,0
00066 ,0032594,PHOT,0,0,0,0
00066 ,0032595,PHOT,0,0,0,0
00066 ,0032624,PHOT,0,0,0,0
00066 ,0032591,L L ,0,0,0,0
00066 ,0032629,L L ,0,0,0,0
00066 ,0032628,L L ,0,0,0,0
00066 ,0032626,PHOT,0,0,0,0
00066 ,0032625,PHOT,0,0,0,0
00066 ,0032611,PHOT,0,0,0,0
00066 ,0032597,PHOT,0,0,0,0
00066 ,0032596,PHOT,0,0,0,0
00066 ,0032627,PHOT,0,0,0,0
00066 ,0032590,L L ,0,0,0,0
00066 ,0032623,PHOT,0,0,0,0
00066 ,0093939,MIN ,0.19285,0,0,1928.5
00066 ,0060965,MIN ,0.201985,0,0,2019.85
00066 ,0034139,L L ,0.14920499999999998,0,0,1492.05
00066 ,0049420,L L ,0.20299999999999999,0,0,2030
00066 ,0034140,L L ,0,0,0,0
00066 ,0086322,L L ,0.23345,0,0,2334.5
00066 ,0093929,MIN ,0.20299999999999999,0,0,2030
00066 ,0093932,MIN ,0.20299999999999999,0,0,2030
00066 ,0052949,MIN ,0.20299999999999999,0,0,2030
00066 ,0093931,MIN ,0.20299999999999999,0,0,2030
00066 ,0093930,MIN ,0.20299999999999999,0,0,2030
00066 ,0053409,STTV,17.589949999999998,0,0,175899.5
00066 ,0053408,STTV,5.431265,0,0,54312.65
00066 ,0047315,XMAS,0,0,0,0
00066 ,0047316,XMAS,5.236384999999999,0,0,52363.85
00066 ,0050162,STFX,17.489465,0,0,174894.65
00066 ,0053186,WIRE,25.190269999999998,0,0,251902.7
00066 ,0053179,L L ,0.201985,0,0,2019.85
00227 ,0002936,LIT ,0,0,0,0
00227 ,0002937,LIT ,0,0,0,0
00227 ,0002938,LIT ,0,0,0,0
00227 ,0002939,LIT ,0,0,0,0
00227 ,0031289,LIT ,0,0,0,0
00227 ,0031842,LIT ,0,0,0,0
00227 ,0032059,LIT ,0,0,0,0
00227 ,0060488,LIT ,0,0,0,0
00227 ,0060901,LIT ,0,0,0,0
00227 ,0066318,LIT ,0,0,0,0
00227 ,0002959,LIT ,0,0,0,0
00227 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00227 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00227 ,0003009,LIT ,3.24597,0,0,32459.7
00227 ,0003010,LIT ,0.226345,0,0,2263.45
00227 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00227 ,0002936,LIT ,0,0,0,0
00227 ,0002937,LIT ,0,0,0,0
00227 ,0032907,LIT ,0,0,0,0
00227 ,0032908,LIT ,0,0,0,0
00227 ,0031289,LIT ,0,0,0,0
00227 ,0031842,LIT ,0,0,0,0
00227 ,0032059,LIT ,0,0,0,0
00227 ,0060488,LIT ,0,0,0,0
00227 ,0060901,LIT ,0,0,0,0
00227 ,0066318,LIT ,0,0,0,0
00227 ,0002959,LIT ,0,0,0,0
00227 ,0002970,LIT ,0.10961999999999998,0,0,1096.2
00227 ,0003005,LIT ,0.6364049999999999,0,0,6364.05
00227 ,0003009,LIT ,3.24597,0,0,32459.7
00227 ,0003010,LIT ,0.226345,0,0,2263.45
00227 ,0003013,LIT ,2.8125649999999998,0,0,28125.65
00227 ,0066967,LIT ,0,0,0,0
00227 ,0003029,NONE,13.554309999999997,0,0,135543.1
00227 ,0003030,FLRS,1.56,0,0,15600
00227 ,0003031,FLRS,7.41,0,0,74100
00227 ,0003032,FLRS,1.015,0,0,10150
00227 ,0046979,L L ,0.49937999999999994,0,0,4993.8
00227 ,0003033,L L ,0,0,0,0
00227 ,0003034,L L ,0,0,0,0
00227 ,0052284,L L ,0.7104999999999999,0,0,7105
00227 ,0003035,L L ,0,0,0,0
00227 ,0003036,L L ,0,0,0,0
00227 ,0003037,L L ,3.184055,0,0,31840.55
00227 ,0003038,L L ,0.7104999999999999,0,0,7105
00227 ,0003039,L L ,0.658735,0,0,6587.35
00227 ,0003040,L L ,1.6097899999999998,0,0,16097.9
00227 ,0003041,L L ,2.56,0,0,25600
00227 ,0003042,L L ,1.35,0,0,13500
00227 ,0003043,L L ,0.4770499999999999,0,0,4770.5
00227 ,0003044,L L ,0,0,0,0
00227 ,0003045,L L ,0,0,0,0
00227 ,0003046,L L ,0,0,0,0
00227 ,0024653,L L ,0.5724599999999999,0,0,5724.6
00227 ,0003047,L L ,0,0,0,0
00227 ,0036509,L L ,3.89151,0,0,38915.1
00227 ,0029717,L L ,0,0,0,0
00227 ,0034615,L L ,1.8665849999999997,0,0,18665.85
00227 ,0003048,L L ,0.8119999999999999,0,0,8120
00227 ,0003049,L L ,2.8531649999999997,0,0,28531.65
00227 ,0003050,L L ,2.225895,0,0,22258.95
00227 ,0003051,L L ,0,0,0,0
00227 ,0028043,L L ,0,0,0,0
00227 ,0052128,L L ,0,0,0,0
00227 ,0067256,L L ,0.532875,0,0,5328.75
00227 ,0003052,L L ,0,0,0,0
00227 ,0003055,L L ,1.5123499999999999,0,0,15123.5
00227 ,0003058,L L ,0.9175599999999999,0,0,9175.6
00227 ,0003059,L L ,0,0,0,0
00227 ,0003060,L L ,0.47907999999999995,0,0,4790.8
00227 ,0003061,L L ,1.93,0,0,19300
00227 ,0035807,L L ,2.5780999999999996,0,0,25781
00227 ,0003063,L L ,0,0,0,0
00227 ,0003065,L L ,0.43644999999999995,0,0,4364.5
00227 ,0047126,L L ,5.138945,0,0,51389.45
